,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES,HOMBRES
,BLANCAS,BLANCAS,BLANCAS,AMARILLAS,AMARILLAS,AMARILLAS,AZULES,AZULES,AZULES,ROJAS,ROJAS,ROJAS
Puntos HDCP,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%,Informal 100%,Medal 95%,Four Ball 85%
58,"45,9 – 46,6","48,4 – 49,1",,"49,2 – 50,0","51,8 – 52,6",,,,,,,
59,"46,7 – 47,4","49,2 – 50,0",,"50,1 – 50,8","52,7 – 53,5",,,,,,,
60,"47,5 – 48,3","50,1 – 50,9",,"50,9 – 51,7","53,6 – 54,0",,,,,,,
61,"48,4 – 49,1","51,0 – 51,7",,"51,8 – 52,5",,,,,,,,
62,"49,2 – 49,9","51,8 – 52,6",,"52,6 – 53,4",,,,,,,,
63,"50,0 – 50,7","52,7 – 53,5",,"53,5 – 54,0",,,,,,,,
64,"50,8 – 51,5","53,6 – 54,0",,,,,,,,,,
65,"51,6 – 52,4",,,,,,,,,,,
66,"52,5 – 53,2",,,,,,,,,,,
67,"53,3 – 54,0",,,,,,,,,,,
